Number	  Date     Time	        Nns     Ans	Nwe     Awe     
1	22.07.17 08:00:23	12444	427	8183	252		
2	22.07.17 08:00:24	13	312	9	278		
3	22.07.17 08:00:25	162	1877	63	273		
4	22.07.17 08:00:26	87	400	29	574		
5	22.07.17 08:00:27	72	349	82	2047		
6	22.07.17 08:00:28	79	294	63	251		
7	22.07.17 08:00:29	35	318	25	248		
8	22.07.17 08:00:30	10	629	12	391		
9	22.07.17 08:00:31	58	511	67	525		
10	22.07.17 08:00:32	72	234	29	345		
11	22.07.17 08:00:33	277	1181	38	250		
12	22.07.17 08:00:34	40	268	31	292		
13	22.07.17 08:00:35	16	523	10	368		
14	22.07.17 08:00:36	319	1329	143	703		
15	22.07.17 08:00:37	164	311	124	352		
16	22.07.17 08:00:38	62	320	116	272		
17	22.07.17 08:00:39	223	356	217	1630		
18	22.07.17 08:00:40	50	1659	94	1611	0	
19	22.07.17 08:00:41	34	431	26	587	0	
20	22.07.17 08:00:42	0	0	5	277	0	
21	22.07.17 08:00:43	50	465	33	352	0	
22	22.07.17 08:00:44	174	386	104	360	0	
23	22.07.17 08:00:45	23	235	44	301	0	
24	22.07.17 08:00:46	51	244	61	298	0	
25	22.07.17 08:00:47	100	780	25	391	0	
26	22.07.17 08:00:48	28	319	47	282	0	
27	22.07.17 08:00:49	149	598	64	367	0	
28	22.07.17 08:00:50	20	271	36	438	0	
29	22.07.17 08:00:51	19	336	1	237	0	
30	22.07.17 08:00:52	94	269	120	367	0	
31	22.07.17 08:00:53	42	307	59	357	0	
32	22.07.17 08:00:54	162	267	81	316	0	
33	22.07.17 08:00:55	37	1908	22	517	0	
34	22.07.17 08:00:56	34	718	2	253	0	
35	22.07.17 08:00:57	282	1016	129	276	0	
36	22.07.17 08:00:58	16	251	10	270	0	
37	22.07.17 08:00:59	95	1254	62	426	0	
38	22.07.17 08:01:00	182	322	203	457	0	
39	22.07.17 08:01:01	121	1981	82	1461	0	
40	22.07.17 08:01:02	122	285	49	459	0	
41	22.07.17 08:01:03	11	336	3	294	0	
42	22.07.17 08:01:04	128	1266	135	509	0	
43	22.07.17 08:01:05	11	259	14	291	0	
44	22.07.17 08:01:06	87	1083	113	1133	0	
45	22.07.17 08:01:07	47	278	29	498	0	
46	22.07.17 08:01:08	81	296	92	262	0	
47	22.07.17 08:01:09	264	454	67	263	0	
48	22.07.17 08:01:10	24	981	37	452	0	
49	22.07.17 08:01:11	14	224	0	0	0	
50	22.07.17 08:01:12	20	433	23	230	0	
51	22.07.17 08:01:13	20	365	19	871	0	
52	22.07.17 08:01:14	47	283	43	582	0	
53	22.07.17 08:01:15	42	319	28	259	0	
54	22.07.17 08:01:16	63	318	29	265	0	
55	22.07.17 08:01:17	38	1282	42	302	0	
56	22.07.17 08:01:18	77	348	38	256	0	
57	22.07.17 08:01:19	70	377	48	744	0	
58	22.07.17 08:01:20	41	216	52	326	0	
59	22.07.17 08:01:21	149	246	120	736	0	
60	22.07.17 08:01:22	102	308	89	298	0	
61	22.07.17 08:01:23	134	457	106	248	0	
62	22.07.17 08:01:24	201	304	109	430	0	
63	22.07.17 08:01:25	231	586	79	676	0	
64	22.07.17 08:01:26	273	306	81	299	0	
65	22.07.17 08:01:27	121	401	31	275	0	
66	22.07.17 08:01:28	87	318	79	540	0	
67	22.07.17 08:01:29	66	1531	52	780	0	
68	22.07.17 08:01:30	56	279	16	325	0	
69	22.07.17 08:01:31	125	645	120	377	0	
70	22.07.17 08:01:32	122	464	71	356	0	
71	22.07.17 08:01:33	108	354	51	456	0	
72	22.07.17 08:01:34	11	333	10	350	0	
73	22.07.17 08:01:35	67	525	38	269	0	
74	22.07.17 08:01:36	89	640	62	459	0	
75	22.07.17 08:01:37	43	430	46	485	0	
76	22.07.17 08:01:38	29	416	25	401	0	
77	22.07.17 08:01:39	19	1484	47	596	0	
78	22.07.17 08:01:40	29	336	14	308	0	
79	22.07.17 08:01:41	21	314	2	311	0	
80	22.07.17 08:01:42	38	2047	6	356	0	
81	22.07.17 08:01:43	22	243	26	486	0	
82	22.07.17 08:01:44	112	335	83	371	0	
